French,English,Pronunciation,Part of speech
je,I,ʒə,pron
de,"1. from, of",də,
de,2. out of,də,
de,"3. at, by, on, upon",də,
de,"4. because of, for, for sake of",də,
de,"5. on account of, owing to, through",də,
est,"east, East",ɛst,"n, masc"
pas,not,pa,adv
le,1. the,lə,art
le,2. him,lə,art
le,3. it,lə,art
vous,"1. to you, you",vu,pron
vous,2. ye,vu,pron
la,1. the,la,art
la,2. it,la,art
la,3. her,la,art
tu,"thou, you",ty,pron
que,"1. that, who",kə,
que,2. than,kə,
un,"1. a, any, anybody, some, somebody, one, some one",œ̃,art
un,2. an,œ̃,art
il,"1. he, him",il,pron
il,2. it,il,pron
et,and,e,prep
à,"1. at, to, toward, towards",a,prep
à,"2. beside, by, near, nearby, near to, next to",a,prep
à,"3. a, in, inside, into, on, per, within",a,prep
à,4. with,a,prep
à,"5. for, in order to",a,prep
à,6. upon,a,prep
à,"7. until, till",a,prep
les,1. them,le,art
les,2. the,le,art
ce,"that, that over there, those",sə,"n, masc"
en,"1. some, any",ɑ̃,pron
en,2. from there,ɑ̃,pron
on,"you, one, they",ɔ̃,pron
une,one,yn,num
pour,"for, to, in order to, per",puʀ,prep
des,of the,de,
moi,"1. me, to me",mwa,pron
moi,2. I,mwa,pron
qui,1. who,ki,
qui,2. that,ki,
nous,"1. us, to us",nu,pron
nous,2. we,nu,pron
mais,but,mɛ,prep
me,"1. me, to me",mə,
dans,"a, in, inside, into, on, per, within",dɑ̃,prep
du,of the,dy,
bien,"estate, farm, property, ranch",bjɛ̃,"n, masc"
elle,1. it,ɛl,pron
elle,"2. her, she",ɛl,pron
si,"1. accordingly, so, then, therefore",si,
si,"2. certainly, indeed, rather, surely",si,
si,3. yes,si,
si,4. provided that,si,
si,"5. as, that",si,
si,"6. if, either, whether",si,
tout,"1. quite, very, very much",tu,
tout,"2. at all, entirely, wholly",tu,
tout,"3. all, every kind of",tu,
tout,"4. altogether, everything",tu,
plus,1. more,ply,adv
plus,"2. else, further, on",ply,adv
plus,3. plus,ply,adv
non,no,nɔ̃,
mon,my,mɔ̃,
te,"1. thee, to thee, to you",tə,
te,2. you,tə,
au,"at the, to the",o,
avec,with,avɛk,prep
oui,yes,wi,
toi,"thee, you",twa,
fait,"1. mature, ripe",fɛ,adj
fait,"2. adult, full-grown",fɛ,adj
ils,they,il,pron
as,ace,a,"n, masc"
être,be,ɛtʀ,v
faire,"1. achieve, act, do, make, perform",fɛʀ,v
faire,"2. cause, get",fɛʀ,v
comme,"1. as, like, such as",kɔmɑ̃,
comme,2. how,kɔmɑ̃,
comme,"3. as if, as though, in a way",kɔmɑ̃,
comme,"4. because, for the reason that",kɔmɑ̃,
comme,"5. so, such, thus",kɔmɑ̃,
comme,"6. for, since",kɔmɑ̃,
sur,"1. above, on top, overhead, upstairs",syʀ,prep
sur,"2. on, upon",syʀ,prep
sur,"3. at, beside, with",syʀ,prep
quoi,what,kwa,pron
lui,"1. the, to the",lɥi,
lui,"2. him, to him",lɥi,
lui,"3. it, to it",lɥi,
lui,"4. her, to her",lɥi,
lui,5. he,lɥi,
ma,my,ma,
là,there,la,adv
rien,1. nothing,ʀi,pron
rien,2. not an ace,ʀi,pron
où,"where, where ... to, whither",u,adv
votre,your,vɔtʀ,
pourquoi,why,puʀkwɑ,adv
quand,when,kɑ̃,conj
par,"1. by, by means of, on, through, with",paʀ,prep
son,1. his,sɔ̃,
son,2. sound,sɔ̃,
son,3. its,sɔ̃,
son,4. her,sɔ̃,
ton,1. tone,tɔ̃,
ton,2. your,tɔ̃,
dire,"say, tell",diʀ,v
alors,"1. then, at that time",alɔʀ,adv
alors,"2. while, whilst, whereas",alɔʀ,adv
comment,"how, in what way",kɔmɑ̃,adv
bon,"good, nice, okay",bɔ̃,
ou,or,u,conj
très,"quite, very, very much",tʀɛ,adv
merci,"thank you, thanks",mɛʀsi,
même,"1. even, same",mɛm,adj
même,"2. self, herself, himself, itself",mɛm,adj
jamais,never,ʒamɛ,adv
aussi,"1. also, likewise, too",osi,
aussi,"2. on that account, therefore",osi,
aussi,"3. as, so, that",osi,
voir,see,vwaʀ,v
chose,"1. affair, business, business deal, case, matter",ʃoz,"n, fem"
chose,2. thing,ʃoz,"n, fem"
chose,"3. article, object",ʃoz,"n, fem"
tous,both,tu,
deux,two,dø,num
sa,1. his,sa,
sa,2. its,sa,
sa,3. her,sa,
été,summer,ete,"n, masc"
ta,your,ta,
avoir,"1. have, have got",avwaʀ,v
avoir,2. wear,avwaʀ,v
autre,"1. other, another, else",otʀ,adj
autre,"2. additional, remaining, rest of",otʀ,adj
encore,"1. more, still, yet",ɑ̃kɔʀ,adv
encore,"2. afresh, again, once more, all over again, anew",ɑ̃kɔʀ,adv
maintenant,"at present, now",mɛ̃tənɑ̃,adv
mes,my,me,
vraiment,"absolutely, genuinly, indeed, really, truly",vʀɛmɑ̃,adv
temps,"1. time, while",tɑ̃,"n, masc"
temps,2. weather,tɑ̃,"n, masc"
toujours,"always, ever",tuʒuʀ,adv
vie,life,vi,"n, fem"
sans,without,sɑ̃,prep
juste,"1. fair, just, righteous",ʒyst,adj
juste,"2. correct, exact, proper, right",ʒyst,adj
oh,oh,o,int
accord,"1. accord, accordance, agreement, concurrence",akɔʀ,"n, masc"
accord,2. chord,akɔʀ,"n, masc"
accord,3. concord,akɔʀ,"n, masc"
monde,world,mɔ̃d,"n, masc"
quelque,"a few, any, some",kɛlkə,
fois,"occasion, time",fwa,"n, fem"
aller,1. fare,ale,v
aller,"2. go, ride, travel",ale,v
trop,"too, too much",tʀo,adv
dieu,god,djø,"n, masc"
homme,"1. man, human being",ɔm,"n, masc"
homme,2. fellow,ɔm,"n, masc"
père,father,pɛʀ,"n, masc"
sûr,"1. certain, sure",syʀ,adj
sûr,"2. reliable, trustworthy",syʀ,adj
sûr,"3. safe, secure",syʀ,adj
aux,"the, to the",o,
leur,"1. them, to them",lœʀ,
leur,2. their,lœʀ,
leur,"3. her, his, its",lœʀ,
avant,"before, in front of",avɑ̃,prep
besoin,need,bəzwɛ̃,"n, masc"
femme,"woman, wife",fam,"n, fem"
personne,person,pɛʀsɔn,"n, fem"
chez,"at, beside, with",ʃe,prep
vrai,"1. right, true",vʀɛ,adj
mal,"1. ache, pain",mal,"n, masc"
mal,2. pity,mal,"n, masc"
mal,"3. bad, miserable, nasty, poor",mal,"n, masc"
mal,4. badly,mal,"n, masc"
parler,"speak, talk",paʀle,v
après,"1. after, behind",apʀɛ,prep
après,"2. afterwards, next, subsequently",apʀɛ,prep
après,"3. beyond, then, thereafter",apʀɛ,prep
mort,death,mɔʀ,"n, masc"
mieux,"preferably, rather",mjø,adj
petit,"diminutive, little, small",pəti,adj
voilà,"behold, here is, here you are, look, there, there you are",vwala,prep
beaucoup,"1. a lot of, much",boku,
beaucoup,"2. frequently, often, regularly",boku,
depuis,"from, since",dəpɥi,
mère,mother,mɛʀ,"n, fem"
monsieur,gentleman,məsjø,"n, masc"
quel,1. who,kɛl,
quel,2. which,kɛl,
déjà,"already, by now, yet",deʒa,adv
fille,1. daughter,fij,"n, fem"
fille,"2. girl, lass, wench",fij,"n, fem"
gens,people,ʒɑ̃,"n, masc"
donc,so,dɔ̃k,
jour,day,ʒuʀ,"n, masc"
soir,evening,swaʀ,"n, masc"
bonjour,1. good morning,bɔ̃ʒuʀ,
bonjour,2. good day,bɔ̃ʒuʀ,
maison,house,mɛzɔ̃,"n, fem"
nom,"appellation, name",nɔ̃,"n, masc"
argent,1. silver,aʀʒɑ̃,"n, masc"
argent,2. money,aʀʒɑ̃,"n, masc"
merde,shit,mɛʀd,"n, fem"
nuit,night,nɥi,"n, fem"
papa,"dad, daddy",papa,"n, masc"
cela,"that, that over there, those",səla,
salut,1. greeting,saly,"n, fem"
salut,"2. salvage, salvation, recovery",saly,"n, fem"
reste,1. remainder,ʀɛst,"n, masc"
reste,2. rest,ʀɛst,"n, masc"
désolé,1. sad,dezɔle,adj
désolé,"2. dreary, gaunt",dezɔle,adj
maman,"mam, mammy, mom, mommy",mamɑ̃,"n, fem"
peur,1. fright,pœʀ,"n, fem"
peur,2. fear,pœʀ,"n, fem"
seul,"alone, only, sole, solitary",sœl,adj
vite,"fast, quickly, swiftly",vit,adv
prendre,"get, lay hold of, pick up, take",pʀɑ̃dʀ,v
air,"air, appearance, aspect, look, sight, view, expression",ɛʀ,"n, masc"
soit,"1. agreed, okay",swa,
soit,2. that is,swa,
trois,three,tʀwa,num
quelle,who,kɛl,
passé,1. last,pase,"n, masc"
passé,2. past,pase,"n, masc"
savoir,"know, know how",savwaʀ,v
choses,"stuff, things",ʃoz,n
moins,minus,mwɛ̃,adv
fils,son,fis,"n, masc"
entre,"among, between",ɑ̃tʀ,prep
bas,low,ba,adj
ah,"1. oh, ow",a,int
ah,"2. ah, aha",a,int
